,image,subject,contrast,hemi,view
184,s11/tstat01_turning_rest.nii.gz.s11.lh_lateral.png,s11,turning_rest,lh,lateral
185,s11/tstat01_turning_rest.nii.gz.s11.rh_medial.png,s11,turning_rest,rh,medial
186,s11/tstat03_imagine_rest.nii.gz.s11.rh_medial.png,s11,imagine_rest,rh,medial
187,s11/tstat01_turning_rest.nii.gz.s11.lh_medial.png,s11,turning_rest,lh,medial
188,s11/tstat04_turning_walking.nii.gz.s11.rh_lateral.png,s11,turning_walking,rh,lateral
189,s11/SMA_imagine_rest.nii.gz.s11.rh_lateral.png,s11,imagine_rest,rh,lateral
190,s11/tstat04_turning_walking.nii.gz.s11.lh_medial.png,s11,turning_walking,lh,medial
191,s11/tstat04_turning_walking.nii.gz.s11.rh_medial.png,s11,turning_walking,rh,medial
192,s11/SMA_imagine_rest.nii.gz.s11.rh_medial.png,s11,imagine_rest,rh,medial
193,s11/SMA_imagine_rest.nii.gz.s11.lh_medial.png,s11,imagine_rest,lh,medial
194,s11/tstat02_walking_rest.nii.gz.s11.lh_lateral.png,s11,walking_rest,lh,lateral
195,s11/tstat02_walking_rest.nii.gz.s11.lh_medial.png,s11,walking_rest,lh,medial
196,s11/tstat02_walking_rest.nii.gz.s11.rh_medial.png,s11,walking_rest,rh,medial
197,s11/tstat03_imagine_rest.nii.gz.s11.rh_lateral.png,s11,imagine_rest,rh,lateral
198,s12/SMA_imagine_rest.nii.gz.s12.rh_lateral.png,s12,imagine_rest,rh,lateral
199,s12/tstat01_turning_rest.nii.gz.s12.rh_lateral.png,s12,turning_rest,rh,lateral
200,s12/tstat04_turning_walking.nii.gz.s12.rh_lateral.png,s12,turning_walking,rh,lateral
201,s12/tstat02_walking_rest.nii.gz.s12.rh_lateral.png,s12,walking_rest,rh,lateral
202,s12/tstat03_imagine_rest.nii.gz.s12.lh_lateral.png,s12,imagine_rest,lh,lateral
203,s12/tstat01_turning_rest.nii.gz.s12.lh_medial.png,s12,turning_rest,lh,medial
204,s12/tstat03_imagine_rest.nii.gz.s12.rh_medial.png,s12,imagine_rest,rh,medial
205,s12/tstat01_turning_rest.nii.gz.s12.rh_medial.png,s12,turning_rest,rh,medial
206,s12/tstat03_imagine_rest.nii.gz.s12.lh_medial.png,s12,imagine_rest,lh,medial
207,s12/tstat01_turning_rest.nii.gz.s12.lh_lateral.png,s12,turning_rest,lh,lateral
208,s12/SMA_imagine_rest.nii.gz.s12.lh_lateral.png,s12,imagine_rest,lh,lateral
209,s12/SMA_imagine_rest.nii.gz.s12.rh_dorsal.png,s12,imagine_rest,rh,dorsal
210,s12/SMA_imagine_rest.nii.gz.s12.lh_dorsal.png,s12,imagine_rest,lh,dorsal
211,s12/tstat02_walking_rest.nii.gz.s12.rh_medial.png,s12,walking_rest,rh,medial
212,s12/tstat04_turning_walking.nii.gz.s12.rh_medial.png,s12,turning_walking,rh,medial
213,s12/tstat02_walking_rest.nii.gz.s12.lh_medial.png,s12,walking_rest,lh,medial
214,s12/tstat04_turning_walking.nii.gz.s12.lh_medial.png,s12,turning_walking,lh,medial
215,s12/SMA_imagine_rest.nii.gz.s12.lh_medial.png,s12,imagine_rest,lh,medial
216,s12/SMA_imagine_rest.nii.gz.s12.rh_medial.png,s12,imagine_rest,rh,medial
217,s12/tstat03_imagine_rest.nii.gz.s12.rh_lateral.png,s12,imagine_rest,rh,lateral
218,s12/tstat02_walking_rest.nii.gz.s12.lh_lateral.png,s12,walking_rest,lh,lateral
219,s12/tstat04_turning_walking.nii.gz.s12.lh_lateral.png,s12,turning_walking,lh,lateral
220,s13/tstat02_walking_rest.nii.gz.s13.rh_lateral.png,s13,walking_rest,rh,lateral
221,s13/tstat03_imagine_rest.nii.gz.s13.lh_lateral.png,s13,imagine_rest,lh,lateral
222,s13/tstat04_turning_walking.nii.gz.s13.lh_medial.png,s13,turning_walking,lh,medial
223,s13/tstat04_turning_walking.nii.gz.s13.rh_medial.png,s13,turning_walking,rh,medial
224,s13/tstat01_turning_rest.nii.gz.s13.rh_lateral.png,s13,turning_rest,rh,lateral
225,s13/SMA_imagine_rest.nii.gz.s13.rh_lateral.png,s13,imagine_rest,rh,lateral
